Name,Unknown #1,Unknown #2,Type #1,Type #2,Level,Health,MP,SP,Vitality,Agility,Speed,Mentality,Stamina,IP Stun Duration,IP Cancel Stun Duration,Still Evasion Rate,Moving Evasion Rate,Fire Resist,Wind Resist,Earth Resist,Lightning Resist,Blizzard Resist,Ailments,Knockback Resist,Status Recovery Time,TDMG,Unknown #3,THEAL,Size,Unknown #4,Unknown #5,No Run Flag,Unknown #6,Experience,Skill Coins,Magic Coins,Gold Coins,Item #1,Item #2,Item #1 Chance,Item #2 Chance,Unknown #7,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance
Right Hand,0,4,Unknown #15,Valmar,25,4600,0,480,164,105,40,80,288,10,50,0,0,-2,0,3,0,0,139,35,480,240,0,500,100,200,0,True,0,0,0,0,0,,Ancient Cuirass,0,100,0,1,50,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Right Hand,0,4,Unknown #15,Valmar,52,18000,0,600,352,105,40,369,288,10,20,0,0,0,0,0,0,0,137,35,480,240,0,500,100,200,0,True,0,0,0,0,0,,Golden Potion,0,100,0,1,0,100,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Left Hand,0,4,Unknown #16,Valmar,25,4600,0,480,155,125,40,90,288,10,50,0,0,4,0,0,0,-4,138,35,480,240,0,500,100,200,0,True,0,0,0,0,0,,Revival Gem,0,100,0,1,50,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Left Hand,0,4,Unknown #16,Valmar,52,18000,0,600,352,125,40,369,288,10,20,0,0,0,0,0,0,0,136,35,480,240,0,500,100,200,0,True,0,0,0,0,0,,Potion of Azure,0,100,0,1,0,100,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Head,0,4,Unknown #17,Valmar,25,5300,880,360,109,88,40,165,288,10,50,0,0,0,0,0,0,0,172,35,360,300,0,500,100,200,0,True,0,0,0,0,800,,,0,0,0,1,15,50,10,25,0,0,35,0,20,15,30,0,0,30,20,15,35,0,0,60,25,15,0,0,0,0,0,0,0
Head,0,4,Unknown #17,Valmar,52,12000,880,360,684,160,40,578,288,10,20,0,0,0,0,0,0,0,42,35,360,300,0,500,100,200,85,True,0,0,0,0,0,,Indigo Potion,0,100,0,1,40,20,25,10,5,0,50,5,10,20,15,0,0,30,20,10,40,0,0,10,40,30,20,0,0,0,0,0,0
Valmar's Tongue,1,3,Unknown #14,Valmar,25,8500,360,880,133,140,40,153,288,10,50,0,0,-4,0,0,0,3,222,35,240,420,0,500,200,200,0,True,0,500,1200,800,0,,Book of Wizards,0,100,0,1,40,0,15,25,20,0,10,40,25,15,10,0,10,20,25,30,15,0,20,25,15,10,30,0,0,0,0,0,0
Valmar's Tongue,1,3,Unknown #14,Valmar,52,27000,360,880,261,140,40,137,288,10,20,0,0,0,0,0,0,0,222,35,240,420,0,500,200,200,0,True,0,3000,4000,1000,0,,Starlight Tiara,0,100,0,1,0,10,30,25,35,0,20,10,40,30,0,0,10,0,40,50,0,0,15,0,30,20,35,0,0,0,0,0,0
Right Tendril,0,4,Unknown #20,Valmar,30,8500,0,900,176,148,40,125,288,10,50,0,0,0,0,0,0,0,140,30,480,240,0,500,90,200,0,True,0,0,0,0,0,,Warp Knife,0,100,0,1,100,0,0,0,0,0,40,60,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Right Tendril,0,4,Unknown #20,Valmar,53,25000,0,900,247,148,40,213,288,10,20,0,0,0,0,0,0,0,136,30,60,420,0,500,90,200,0,True,0,0,0,0,0,,Indigo Potion,0,100,0,1,20,80,0,0,0,0,10,90,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Left Tendril,0,4,Unknown #21,Valmar,30,8500,0,900,176,110,40,125,288,10,50,0,0,0,0,0,0,0,138,30,480,240,0,500,90,200,0,True,0,0,0,0,0,,Gravity Egg,0,100,0,1,70,30,0,0,0,0,30,70,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Left Tendril,0,4,Unknown #21,Valmar,53,25000,0,900,247,132,40,213,288,10,20,0,0,0,0,0,0,0,136,30,60,420,0,500,90,200,0,True,0,0,0,0,0,,Potion of Azure,0,100,0,1,30,70,0,0,0,0,30,70,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyeball Bat,0,5,Unknown #22,Valmar,30,4000,0,450,151,175,110,140,192,15,50,0,0,0,0,5,0,0,145,5,360,360,0,500,70,200,0,True,0,0,0,0,300,,,0,0,0,1,70,30,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyeball Bat,0,5,Unknown #22,Valmar,53,25000,0,560,224,274,100,235,192,10,20,0,0,0,0,0,0,0,16,5,360,360,0,500,70,200,85,True,0,0,0,0,0,,Scarlet Potion,0,100,0,1,90,10,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valmar's Eye,2,3,Unknown #19,Valmar,30,16000,900,1300,190,181,40,145,288,10,50,0,0,0,0,8,0,0,254,30,300,360,0,500,200,200,0,True,0,800,1800,1800,0,,Demon's Tears,0,100,0,1,5,50,30,15,0,0,20,35,45,0,0,0,10,25,35,30,0,0,35,15,30,20,0,0,0,0,0,0,0
Valmar's Eye,2,3,Unknown #19,Valmar,53,25000,900,1300,281,181,40,186,288,10,20,0,0,0,0,0,0,0,254,30,300,480,0,500,200,200,0,True,0,3000,4000,1000,0,,Queen Heels,0,100,0,1,30,10,20,40,0,0,30,60,10,0,0,0,10,25,15,50,0,0,30,35,10,25,0,0,0,0,0,0,0
Right Arm,0,4,Unknown #25,Valmar,35,10000,500,600,352,139,50,95,288,10,30,0,0,0,0,-3,0,7,154,40,480,240,0,500,90,200,0,True,0,0,0,0,0,,Mana Insignia,0,100,0,1,15,60,0,0,25,0,20,0,40,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Left Arm,0,4,Unknown #26,Valmar,35,11000,660,550,234,157,50,237,288,10,30,0,0,0,0,-7,5,0,188,40,480,240,0,500,90,200,0,True,0,0,0,0,2100,,,0,0,0,1,20,50,0,0,30,0,30,0,25,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valmar's Claw,3,3,Unknown #24,Valmar,35,16000,590,1100,273,177,50,158,288,10,30,0,0,0,0,-5,0,0,254,40,240,480,0,500,170,200,0,True,0,1000,2400,1200,0,,Book of Gales,0,100,0,1,15,25,10,20,30,0,10,40,20,25,5,0,10,15,10,30,35,0,0,30,20,50,0,0,0,0,0,0,0
Sword,0,4,Unknown #30,Valmar,40,14000,0,0,576,125,450,110,96,10,30,0,0,-3,-3,-3,-3,-3,223,25,360,540,0,500,70,200,83,True,0,0,0,0,0,,Maken Valborg,0,100,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sword,0,4,Unknown #30,Valmar,40,11000,0,0,999,150,150,999,192,10,30,100,0,0,7,0,0,0,255,4121,360,540,0,500,70,200,83,True,0,0,0,0,0,,,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regenerator,0,4,Unknown #31,Valmar,40,17000,650,0,192,170,450,508,96,10,30,0,0,0,0,0,0,0,184,25,240,540,0,500,60,200,83,True,0,0,0,0,0,,Book of Swords,0,100,0,1,10,20,40,15,15,0,40,10,20,15,15,0,10,0,40,30,20,0,50,0,30,0,20,0,0,0,0,0,0
